artist,year,track,album,tags,labelid,url,cluster,distance,bpm_essentia
Optimator,2015.0,Optimator - Believe,Flashback Traxx,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/believe,0,0.1888449732806663,128.16
Owen Ni,2019.0,Nebula Groove (Plural remix),Nebula Groove,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/nebula-groove-plural-remix,1,0.2110156010279024,135.98
Owen Ni,2019.0,Nebula Groove (Ron S. remix),Nebula Groove,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/nebula-groove-ron-s-remix,0,0.2389353929683063,129.98
Owen Ni,2018.0,Questionairre (Atman rmx),Highways,acid house|detroit techno|electronic|techno|deep techno|dub techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/questionairre-atman-rmx,1,0.1348858301998738,128.12
Owen Ni,2019.0,Space Base Silicon Valley,Nebula Groove,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/space-base-silicon-valley,0,0.1503548549862165,128.0
RSTYKAT,2015.0,Galvanize,Oscidize EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/galvanize,0,0.1806105977770997,125.04
RSTYKAT,2015.0,Oscidize,Oscidize EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/oscidize,0,0.2219866462815616,125.01
RSTYKAT,2015.0,Spark Plug,Oscidize EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/spark-plug,0,0.2344615864333986,124.93
Residual State,2015.0,Network Protocol - Komprezzor Firewall Remix,Network Protocol,acid house|detroit techno|electronic|techno|banging techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/network-protocol-komprezzor-firewall-remix,1,0.2306258722354557,131.95
Ron S.,2015.0,7th Objective,Acts of Vision,acid house|detroit techno|electronic|techno|jacking techno|minimal techno|tracky techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/7th-objective,0,0.2358538392011412,127.0
Ron S.,2017.0,Asymptote,Space Dust EP,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/asymptote,1,0.1912757405056542,128.07
Cari Lekebusch,2020.0,Styge 2,Styge [HYB032],electronic|acid|electro|techno|Stockholm,38,https://h-productions.bandcamp.com/track/styge-2,0,0.2393261493645316,125.98
Ron S.,2015.0,Civil Disobedience,Dark Places EP,acid house|dark techno|detroit techno|electronic|techno|acid techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/civil-disobedience,1,0.2267394831902268,128.09
Ron S.,2001.0,Energy,Fundamentals Vol. 2,acid house|detroit techno|electronic|techno|minimal techno|St. Louis,8,https://anoderecords1.bandcamp.com/track/energy,1,0.2245040943432199,140.86
Alex Bau,2015.0,Bassmamba,Musick,electronic|techno|Munich,16,https://credo-rec.bandcamp.com/track/bassmamba,0,0.2263387849880808,123.0
